Time,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,Compound,TyreLife,Position,IsAccurate
0 days 01:05:53.876000,2.0,0 days 00:01:37.974000,0 days 00:00:31.342000,0 days 00:00:42.504000,0 days 00:00:24.128000,227.0,238.0,278.0,SOFT,5.0,1.0,True
0 days 01:07:31.882000,3.0,0 days 00:01:38.006000,0 days 00:00:31.388000,0 days 00:00:42.469000,0 days 00:00:24.149000,227.0,238.0,278.0,SOFT,6.0,1.0,True
0 days 01:09:09.858000,4.0,0 days 00:01:37.976000,0 days 00:00:31.271000,0 days 00:00:42.642000,0 days 00:00:24.063000,228.0,238.0,278.0,SOFT,7.0,1.0,True
0 days 01:10:47.893000,5.0,0 days 00:01:38.035000,0 days 00:00:31.244000,0 days 00:00:42.724000,0 days 00:00:24.067000,228.0,239.0,278.0,SOFT,8.0,1.0,True
0 days 01:12:25.879000,6.0,0 days 00:01:37.986000,0 days 00:00:31.341000,0 days 00:00:42.632000,0 days 00:00:24.013000,229.0,239.0,279.0,SOFT,9.0,1.0,True
0 days 01:14:03.900000,7.0,0 days 00:01:38.021000,0 days 00:00:31.290000,0 days 00:00:42.763000,0 days 00:00:23.968000,230.0,239.0,279.0,SOFT,10.0,1.0,True
0 days 01:15:42.054000,8.0,0 days 00:01:38.154000,0 days 00:00:31.291000,0 days 00:00:42.833000,0 days 00:00:24.030000,230.0,240.0,279.0,SOFT,11.0,1.0,True
0 days 01:17:20.332000,9.0,0 days 00:01:38.278000,0 days 00:00:31.336000,0 days 00:00:42.823000,0 days 00:00:24.119000,229.0,242.0,279.0,SOFT,12.0,1.0,True
0 days 01:18:58.701000,10.0,0 days 00:01:38.369000,0 days 00:00:31.361000,0 days 00:00:42.884000,0 days 00:00:24.124000,230.0,242.0,279.0,SOFT,13.0,1.0,True
0 days 01:20:37.184000,11.0,0 days 00:01:38.483000,0 days 00:00:31.342000,0 days 00:00:42.978000,0 days 00:00:24.163000,230.0,239.0,278.0,SOFT,14.0,1.0,True
0 days 01:22:15.775000,12.0,0 days 00:01:38.591000,0 days 00:00:31.408000,0 days 00:00:42.951000,0 days 00:00:24.232000,231.0,241.0,278.0,SOFT,15.0,1.0,True
0 days 01:23:54.257000,13.0,0 days 00:01:38.482000,0 days 00:00:31.389000,0 days 00:00:42.907000,0 days 00:00:24.186000,230.0,241.0,278.0,SOFT,16.0,1.0,True
0 days 01:29:11.731000,16.0,0 days 00:01:37.801000,0 days 00:00:31.209000,0 days 00:00:42.711000,0 days 00:00:23.881000,231.0,236.0,280.0,SOFT,2.0,2.0,True
0 days 01:30:49.379000,17.0,0 days 00:01:37.648000,0 days 00:00:31.170000,0 days 00:00:42.623000,0 days 00:00:23.855000,232.0,237.0,280.0,SOFT,3.0,2.0,True
0 days 01:32:26.993000,18.0,0 days 00:01:37.614000,0 days 00:00:31.211000,0 days 00:00:42.569000,0 days 00:00:23.834000,232.0,239.0,280.0,SOFT,4.0,1.0,True
0 days 01:34:04.705000,19.0,0 days 00:01:37.712000,0 days 00:00:31.243000,0 days 00:00:42.608000,0 days 00:00:23.861000,232.0,243.0,280.0,SOFT,5.0,1.0,True
0 days 01:35:42.493000,20.0,0 days 00:01:37.788000,0 days 00:00:31.186000,0 days 00:00:42.766000,0 days 00:00:23.836000,230.0,237.0,280.0,SOFT,6.0,1.0,True
0 days 01:37:20.075000,21.0,0 days 00:01:37.582000,0 days 00:00:31.168000,0 days 00:00:42.572000,0 days 00:00:23.842000,232.0,239.0,280.0,SOFT,7.0,1.0,True
0 days 01:38:57.726000,22.0,0 days 00:01:37.651000,0 days 00:00:31.224000,0 days 00:00:42.548000,0 days 00:00:23.879000,232.0,235.0,281.0,SOFT,8.0,1.0,True
0 days 01:40:35.278000,23.0,0 days 00:01:37.552000,0 days 00:00:31.153000,0 days 00:00:42.514000,0 days 00:00:23.885000,232.0,237.0,281.0,SOFT,9.0,1.0,True
0 days 01:42:12.665000,24.0,0 days 00:01:37.387000,0 days 00:00:31.145000,0 days 00:00:42.398000,0 days 00:00:23.844000,233.0,238.0,280.0,SOFT,10.0,1.0,True
0 days 01:43:50.037000,25.0,0 days 00:01:37.372000,0 days 00:00:31.145000,0 days 00:00:42.344000,0 days 00:00:23.883000,232.0,240.0,281.0,SOFT,11.0,1.0,True
0 days 01:45:27.719000,26.0,0 days 00:01:37.682000,0 days 00:00:31.213000,0 days 00:00:42.533000,0 days 00:00:23.936000,232.0,242.0,281.0,SOFT,12.0,1.0,True
0 days 01:47:05.098000,27.0,0 days 00:01:37.379000,0 days 00:00:31.079000,0 days 00:00:42.349000,0 days 00:00:23.951000,233.0,245.0,281.0,SOFT,13.0,1.0,True
0 days 01:48:42.749000,28.0,0 days 00:01:37.651000,0 days 00:00:31.112000,0 days 00:00:42.554000,0 days 00:00:23.985000,231.0,241.0,281.0,SOFT,14.0,1.0,True
0 days 01:50:20.320000,29.0,0 days 00:01:37.571000,0 days 00:00:31.045000,0 days 00:00:42.533000,0 days 00:00:23.993000,233.0,245.0,283.0,SOFT,15.0,1.0,True
0 days 01:51:57.869000,30.0,0 days 00:01:37.549000,0 days 00:00:31.185000,0 days 00:00:42.443000,0 days 00:00:23.921000,233.0,249.0,283.0,SOFT,16.0,1.0,True
0 days 01:53:35.300000,31.0,0 days 00:01:37.431000,0 days 00:00:31.040000,0 days 00:00:42.464000,0 days 00:00:23.927000,232.0,250.0,282.0,SOFT,17.0,1.0,True
0 days 01:55:12.991000,32.0,0 days 00:01:37.691000,0 days 00:00:31.139000,0 days 00:00:42.523000,0 days 00:00:24.029000,232.0,249.0,283.0,SOFT,18.0,1.0,True
0 days 01:56:50.677000,33.0,0 days 00:01:37.686000,0 days 00:00:31.112000,0 days 00:00:42.505000,0 days 00:00:24.069000,233.0,249.0,282.0,SOFT,19.0,1.0,True
0 days 01:58:28.516000,34.0,0 days 00:01:37.839000,0 days 00:00:31.129000,0 days 00:00:42.615000,0 days 00:00:24.095000,232.0,248.0,283.0,SOFT,20.0,1.0,True
0 days 02:00:06.366000,35.0,0 days 00:01:37.850000,0 days 00:00:31.211000,0 days 00:00:42.500000,0 days 00:00:24.139000,232.0,255.0,282.0,SOFT,21.0,1.0,True
0 days 02:05:22.117000,38.0,0 days 00:01:36.297000,0 days 00:00:31.034000,0 days 00:00:41.772000,0 days 00:00:23.491000,235.0,246.0,281.0,HARD,2.0,1.0,True
0 days 02:06:58.563000,39.0,0 days 00:01:36.446000,0 days 00:00:30.818000,0 days 00:00:42.125000,0 days 00:00:23.503000,233.0,244.0,282.0,HARD,3.0,1.0,True
0 days 02:08:35.505000,40.0,0 days 00:01:36.942000,0 days 00:00:31.175000,0 days 00:00:42.247000,0 days 00:00:23.520000,231.0,240.0,282.0,HARD,4.0,1.0,True
0 days 02:13:57.714000,43.0,0 days 00:01:36.890000,0 days 00:00:31.130000,0 days 00:00:42.295000,0 days 00:00:23.465000,236.0,247.0,282.0,HARD,7.0,1.0,True
0 days 02:15:33.950000,44.0,0 days 00:01:36.236000,0 days 00:00:30.783000,0 days 00:00:42.005000,0 days 00:00:23.448000,237.0,245.0,283.0,HARD,8.0,1.0,True
0 days 02:17:10.965000,45.0,0 days 00:01:37.015000,0 days 00:00:31.079000,0 days 00:00:42.221000,0 days 00:00:23.715000,235.0,245.0,281.0,HARD,9.0,1.0,True
0 days 02:18:47.666000,46.0,0 days 00:01:36.701000,0 days 00:00:31.030000,0 days 00:00:42.003000,0 days 00:00:23.668000,236.0,245.0,282.0,HARD,10.0,1.0,True
0 days 02:20:24.675000,47.0,0 days 00:01:37.009000,0 days 00:00:31.094000,0 days 00:00:42.205000,0 days 00:00:23.710000,236.0,243.0,282.0,HARD,11.0,1.0,True
0 days 02:22:01.593000,48.0,0 days 00:01:36.918000,0 days 00:00:31.010000,0 days 00:00:42.199000,0 days 00:00:23.709000,236.0,239.0,284.0,HARD,12.0,1.0,True
0 days 02:23:38.555000,49.0,0 days 00:01:36.962000,0 days 00:00:31.124000,0 days 00:00:42.026000,0 days 00:00:23.812000,234.0,239.0,279.0,HARD,13.0,1.0,True
0 days 02:25:15.805000,50.0,0 days 00:01:37.250000,0 days 00:00:31.070000,0 days 00:00:42.375000,0 days 00:00:23.805000,234.0,238.0,281.0,HARD,14.0,1.0,True
0 days 02:26:53.232000,51.0,0 days 00:01:37.427000,0 days 00:00:31.154000,0 days 00:00:42.202000,0 days 00:00:24.071000,233.0,241.0,279.0,HARD,15.0,1.0,True
0 days 02:28:30.151000,52.0,0 days 00:01:36.919000,0 days 00:00:31.033000,0 days 00:00:42.133000,0 days 00:00:23.753000,235.0,241.0,280.0,HARD,16.0,1.0,True
0 days 02:30:07.041000,53.0,0 days 00:01:36.890000,0 days 00:00:30.906000,0 days 00:00:42.217000,0 days 00:00:23.767000,228.0,240.0,280.0,HARD,17.0,1.0,True
0 days 02:31:43.719000,54.0,0 days 00:01:36.678000,0 days 00:00:30.988000,0 days 00:00:41.938000,0 days 00:00:23.752000,235.0,245.0,280.0,HARD,18.0,1.0,True
0 days 02:33:20.041000,55.0,0 days 00:01:36.322000,0 days 00:00:30.964000,0 days 00:00:41.747000,0 days 00:00:23.611000,234.0,247.0,282.0,HARD,19.0,1.0,True
0 days 02:34:57.246000,56.0,0 days 00:01:37.205000,0 days 00:00:31.091000,0 days 00:00:42.270000,0 days 00:00:23.844000,233.0,238.0,282.0,HARD,20.0,1.0,True
0 days 02:36:33.619000,57.0,0 days 00:01:36.373000,0 days 00:00:30.960000,0 days 00:00:41.763000,0 days 00:00:23.650000,235.0,262.0,253.0,HARD,21.0,1.0,True
